test-0.0001-a,test-0.0001-a,test-0.0001-a
Test time,Strain,Stress
s,%,MPa
0,0,25.93209377
0.5,-0.000724965,25.98308226
1,0.000421258,26.6377318
1.5,-0.000256619,28.97485495
1.885775,0.001774536,31.52002188
2.26,0.003775741,34.056075
2.76,0.005147285,37.42434552
3.26,0.005911936,40.85899709
3.76,0.007666786,44.14982955
4.26,0.00940654,47.39379753
4.76,0.009169521,50.55317311
5.049775,0.011190186,52.34131479
5.55,0.011455547,55.23018286
6.05,0.012548172,57.92817529
6.55,0.014375278,60.38106493
7.05,0.015567076,62.61001535
7.55,0.015625642,64.57719124
8.05,0.016805628,66.26789332
8.55,0.017705931,67.82764954
9.05,0.018061715,69.29628073
9.55,0.018481076,70.59886489
10.05,0.018482313,71.71490897
10.55,0.019576097,72.71227178
11.05,0.02021033,73.63631402
11.55,0.021009188,74.54107406
12.05,0.020717811,75.39034403
12.55,0.020074757,76.19444859
13.05,0.020335594,76.99529171
13.55,0.020460564,77.75990746
14.05,0.020733532,78.54251646
14.55,0.022029772,79.33811914
15.05,0.022206887,80.07933844
15.55,0.022038634,80.78615312
16.05,0.022916896,81.48806588
16.55,0.021705586,82.13385713
17.05,0.021750743,82.88088974
17.51,0.023827852,83.56183423
17.88,0.025842987,84.11015984
18.24,0.023787273,84.60763041
18.31,0.02172541,84.70692532
18.673775,0.023790983,85.1888243
19.093775,0.021794026,85.74633532
19.6,0.021534612,86.42120612
19.855775,0.023623239,86.79831587
20,0.025659899,87.00908564
20.45,0.023619129,87.63796427
20.95,0.023616633,88.31775001
21.427775,0.021604316,88.97195851
21.71,0.02369473,89.35419803
22.21,0.024434327,90.04099489
22.71,0.022685244,90.76070561
23.21,0.024298499,91.40926354
23.71,0.022666257,92.05525009
24.21,0.023329796,92.64930096
24.289775,0.025328639,92.74713766
24.748775,0.023295738,93.29853592
25.25,0.025159153,93.9374853
25.75,0.024489842,94.60745417
26.25,0.025439601,95.27935647
26.75,0.025526123,95.90544888
27.25,0.025446175,96.48036727
27.75,0.025085011,97.14425593
28.25,0.025003606,97.7889405
28.75,0.025625603,98.42912676
29.25,0.027009023,99.04021393
29.445775,0.024887312,99.29034233
29.95,0.024919791,99.93440846
30.45,0.025481397,100.5911298
30.95,0.025297337,101.2885182
31.45,0.025298231,101.8890008
31.95,0.023850807,102.523901
32.44,0.025925041,103.1300212
32.54,0.028022644,103.249399
33.04,0.02873747,103.8674908
33.508775,0.026716525,104.4735979
34.01,0.026311142,105.148332
34.51,0.026442976,105.8311058
35.01,0.026164131,106.4833483
35.51,0.028086841,107.0565156
36.01,0.027784283,107.673071
36.51,0.027672488,108.3312635
37.01,0.027298772,108.973559
37.51,0.027515308,109.5809876
38.01,0.02745097,110.1758587
38.51,0.028440263,110.816364
39.01,0.02790388,111.5368624
39.51,0.027591157,112.2216998
40.01,0.029111316,112.8759018
40.51,0.029687857,113.5128396
41.01,0.028329332,114.1325393
41.506775,0.03038693,114.7679018
42.01,0.02938039,115.4445888
42.51,0.029935658,116.1298819
43.01,0.029279923,116.7856333
43.51,0.029950656,117.4185089
44.01,0.030923787,118.0073129
44.51,0.030717811,118.6646266
45.01,0.03059705,119.2728819
45.51,0.030956713,119.8921911
46.01,0.030362678,120.4972957
46.51,0.031045912,121.116045
47.01,0.030773886,121.7218917
47.51,0.030416831,122.4189286
48.01,0.030503983,123.0586006
48.51,0.030393886,123.6332
49.01,0.030948969,124.2039716
49.51,0.032028624,124.7561771
50.01,0.030517381,125.3320264
50.51,0.028822296,125.9020428
51.01,0.030263768,126.5139828
51.51,0.030171698,127.0804449
52.01,0.030474178,127.6543412
52.51,0.030259894,128.147346
53.01,0.030181064,128.7191332
53.51,0.030030509,129.2655839
54.01,0.029991988,129.8229713
54.51,0.030652416,130.329829
55.01,0.030222796,130.8630387
55.51,0.030384855,131.4383803
56.01,0.031360937,132.067337
56.51,0.031304898,132.6371452
57.01,0.031316298,133.1620223
57.51,0.031417915,133.7081605
58.01,0.032909089,134.2107609
58.51,0.033831142,134.7528631
59.01,0.032523911,135.3003033
59.51,0.032732116,135.8915419
60.01,0.032885469,136.4580301
60.51,0.034282745,136.9910054
61.01,0.034462901,137.5275742
61.51,0.034044488,138.1147376
62.01,0.034365849,138.6710183
62.51,0.033653344,139.2202162
63.01,0.034341556,139.7493768
63.51,0.03473421,140.3038087
64.01,0.034129117,140.8883551
64.51,0.034877453,141.5079116
65.01,0.035351117,142.1062069
65.51,0.035792019,142.6481789
66.01,0.036929033,143.1857242
66.51,0.036397097,143.7161216
67.01,0.035734588,144.3188827
67.51,0.037084777,144.9097698
68.01,0.036549538,145.5118408
68.51,0.036626166,146.1177136
69.01,0.037317264,146.6951383
69.51,0.036951365,147.2557154
70.01,0.036774575,147.8784748
70.51,0.036738889,148.4620318
71.01,0.038217907,149.0690763
71.118775,0.036146153,149.1853424
71.24,0.034134637,149.3228567
71.74,0.035017218,149.8681227
72.24,0.034885342,150.4827708
72.74,0.036368489,151.1526225
73.24,0.036129076,151.809155
73.74,0.036448826,152.3718023
