Tiempo,Galga ex,Axial Force,Axial Force,Axial Displacement
,,,,
13.136719,-0.001336252,-0.019132884,-0.51021024,-0.001761806
13.236328,-0.001811298,-0.035301037,-0.941360987,-0.002509505
13.335938,-0.011611844,-0.39237022,-10.46320587,-0.003630668
13.435547,-0.016371997,-0.56136227,-14.96966053,-0.017858451
13.535156,-0.007197911,-0.224411,-5.984293333,-0.011685803
13.634766,-0.01481924,-0.49951574,-13.32041973,-0.012004459
13.734375,-0.023072703,-0.79925984,-21.31359573,-0.021001427
13.833984,-0.016823001,-0.56999308,-15.19981547,-0.023404337
13.933594,-0.017183401,-0.58617353,-15.63129413,-0.017460911
14.033203,-0.027495712,-0.95869917,-25.5653112,-0.024358565
14.132813,-0.02920177,-1.0209765,-27.22604,-0.032283183
14.232422,-0.021710424,-0.74981028,-19.9949408,-0.028278796
14.332031,-0.028540028,-1.0027717,-26.74057867,-0.028182855
14.431641,-0.037499573,-1.3220178,-35.253808,-0.037439469
14.53125,-0.032855693,-1.1464477,-30.57193867,-0.043726347
14.630859,-0.029514279,-1.0273472,-27.39592533,-0.034974582
14.730469,-0.0407882,-1.4297377,-38.12633867,-0.040277619
14.830078,-0.043875154,-1.533744,-40.89984,-0.051424716
14.929688,-0.03513629,-1.2117765,-32.31404,-0.045687921
15.029297,-0.044106048,-1.5397152,-41.059072,-0.045493633
15.128906,-0.05292099,-1.8355366,-48.94764267,-0.056397982
15.228516,-0.044516329,-1.5300769,-40.80205067,-0.0577791
15.328125,-0.048126578,-1.6664773,-44.43939467,-0.052169953
15.427734,-0.058760699,-2.0330629,-54.21501067,-0.060731117
15.527344,-0.054933723,-1.8745019,-49.98671733,-0.066427909
15.626953,-0.050991286,-1.7387216,-46.36590933,-0.059857309
15.726563,-0.062956892,-2.1646392,-57.723712,-0.065737985
15.826172,-0.065332696,-2.205302,-58.80805333,-0.074705862
15.925781,-0.056791015,-1.8964442,-50.57184533,-0.069514126
16.025391,-0.066986471,-2.264648,-60.39061333,-0.070756994
16.125,-0.074849837,-2.4614205,-65.63788,-0.082015961
16.224609,-0.065899596,-2.140763,-57.08701333,-0.08158277
16.324219,-0.071305931,-2.3338823,-62.23686133,-0.077213265
16.423828,-0.083872683,-2.6828568,-71.542848,-0.087440349
16.523438,-0.076237798,-2.3799853,-63.46627467,-0.091557629
16.623047,-0.07803639,-2.4528146,-65.40838933,-0.084927201
16.722656,-0.091198206,-2.8327,-75.53866667,-0.094776623
16.822266,-0.08585038,-2.5927238,-69.13930133,-0.099117137
16.921875,-0.084196523,-2.5437155,-67.83241333,-0.09183608
17.021484,-0.097332127,-2.9584591,-78.89224267,-0.098835357
17.121094,-0.096813977,-2.7908561,-74.42282933,-0.10899401
17.220703,-0.094020724,-2.6980655,-71.94841333,-0.098187238
17.320313,-0.10735115,-3.1073196,-82.861856,-0.1089856
17.419922,-0.10080895,-2.8169661,-75.119096,-0.11386421
17.519531,-0.10306167,-2.8989332,-77.30488533,-0.10656533
17.619141,-0.11598791,-3.2173655,-85.79641333,-0.11556604
17.71875,-0.11029943,-2.9721067,-79.25617867,-0.12215774
17.818359,-0.10895067,-2.9240811,-77.975496,-0.11396276
17.917969,-0.12293909,-3.335604,-88.94944,-0.12096927
18.017578,-0.12112403,-3.1548016,-84.12804267,-0.13161658
18.117188,-0.11583108,-2.9683464,-79.155904,-0.12175426
18.216797,-0.1282455,-3.3941169,-90.509784,-0.12837505
18.316406,-0.13127375,-3.3738182,-89.96848533,-0.13608433
18.416016,-0.12274786,-3.0807769,-82.15405067,-0.13142255
18.515625,-0.13220473,-3.4163916,-91.103776,-0.13297045
18.615234,-0.14138256,-3.5394127,-94.38433867,-0.14384463
18.714844,-0.13070804,-3.1456065,-83.88284,-0.14193976
18.814453,-0.13851908,-3.4352422,-91.60645867,-0.13925292
18.914063,-0.14915164,-3.6337678,-96.90047467,-0.1503599
19.013672,-0.13994813,-3.2764912,-87.37309867,-0.15012504
19.113281,-0.14489399,-3.4629235,-92.34462667,-0.14687164
19.212891,-0.1570569,-3.7260776,-99.36206933,-0.15731344
19.3125,-0.14760728,-3.3243902,-88.65040533,-0.15816185
19.412109,-0.15454862,-3.5839903,-95.57307467,-0.15357459
19.511719,-0.1625725,-3.7259223,-99.357928,-0.16513751
19.611328,-0.1541023,-3.4090381,-90.90768267,-0.16386437
19.710938,-0.16184863,-3.6949618,-98.53231467,-0.16255291
19.810547,-0.17568047,-3.8104329,-101.611544,-0.17277385
19.910156,-0.16583134,-3.4315894,-91.50905067,-0.17290975
20.009766,-0.17131872,-3.6386011,-97.02936267,-0.1697202
20.109375,-0.18463589,-3.9144607,-104.3856187,-0.17824121
20.208984,-0.1818496,-3.6504476,-97.34526933,-0.18372266
20.308594,-0.18115392,-3.6286492,-96.76397867,-0.1762529
20.408203,-0.20020778,-3.9918737,-106.4499653,-0.18360443
20.507813,-0.20767404,-3.6797299,-98.12613067,-0.19298747
20.607422,-0.20723245,-3.6594267,-97.584712,-0.18387592
20.707031,-0.21967906,-4.0201287,-107.203432,-0.19254854
20.806641,-0.2174778,-3.785758,-100.9535467,-0.1992427
20.90625,-0.21633944,-3.7414713,-99.772568,-0.1907289
21.005859,-0.23226124,-4.0662098,-108.4322613,-0.20113097
21.105469,-0.22605272,-3.7254817,-99.34617867,-0.20572641
21.205078,-0.22813302,-3.797245,-101.2598667,-0.19947115
21.304688,-0.2409507,-4.1105442,-109.614512,-0.20937102
21.404297,-0.23617612,-3.8259711,-102.025896,-0.21217361
21.503906,-0.23651358,-3.8358195,-102.28852,-0.20707983
21.603516,-0.25202557,-4.17027,-111.2072,-0.21440718
21.703125,-0.25518733,-3.89821,-103.9522667,-0.22159994
21.802734,-0.25252536,-3.8006759,-101.3513573,-0.21328811
21.902344,-0.26675889,-4.2035699,-112.0951973,-0.22095622
22.001953,-0.2840955,-4.0438867,-107.8369787,-0.22903727
22.101563,-0.27751979,-3.7956209,-101.2165573,-0.22272591
22.201172,-0.29039392,-4.2052331,-112.1395493,-0.22555248
22.300781,-0.33273935,-4.0861163,-108.9631013,-0.23899835
22.400391,-0.32404554,-3.7618787,-100.3167653,-0.22992557
22.5,-0.33648378,-4.1689835,-111.1728933,-0.23458284
22.599609,-0.34299031,-4.1727972,-111.274592,-0.24396813
22.699219,-0.33579692,-3.9146476,-104.3906027,-0.23890062
22.798828,-0.34995234,-4.328001,-115.41336,-0.24129626
22.898438,-0.35450253,-4.0664587,-108.4388987,-0.25510085
22.998047,-0.34863517,-3.8651085,-103.06956,-0.2447921
23.097656,-0.36150798,-4.2687149,-113.8323973,-0.25034574
23.197266,-0.36798769,-4.2081766,-112.2180427,-0.25820744
23.296875,-0.36188656,-3.987102,-106.32272,-0.25207034
23.396484,-0.37568974,-4.3719139,-116.5843707,-0.25710154
23.496094,-0.4368279,-4.2058449,-112.155864,-0.26709643
23.595703,-0.428756,-3.9012845,-104.0342533,-0.26154819
23.695313,-0.44037676,-4.2626963,-113.6719013,-0.26412624
23.794922,-0.45667338,-4.3300252,-115.4673387,-0.27224123
23.894531,-0.44925296,-4.0148149,-107.0617307,-0.27194235
23.994141,-0.45684493,-4.2474127,-113.2643387,-0.26965562
24.09375,-0.48774135,-4.3455749,-115.8819973,-0.28042141
24.193359,-0.48192477,-3.9821584,-106.1908907,-0.28018045
24.292969,-0.48899677,-4.1985559,-111.9614907,-0.27671432
24.392578,-0.55040246,-4.3769097,-116.717592,-0.28751945
24.492188,-0.55254519,-4.005312,-106.80832,-0.28727666
24.591797,-0.55815458,-4.1681929,-111.1518107,-0.28382957
24.691406,-0.57707715,-4.4524298,-118.7314613,-0.29246798
24.791016,-0.57830149,-4.1772122,-111.3923253,-0.29742897
24.890625,-0.57725495,-4.1347108,-110.2589547,-0.2902739
24.990234,-0.59419322,-4.492321,-119.7952267,-0.29789364
25.089844,-0.59291518,-4.2271357,-112.7236187,-0.30732694
25.189453,-0.58706582,-4.0236483,-107.297288,-0.29936436
25.289063,-0.60058576,-4.4259953,-118.0265413,-0.30388066
25.388672,-0.61846495,-4.3697486,-116.5266293,-0.31400242
25.488281,-0.6105516,-4.0537672,-108.1004587,-0.30802238
25.587891,-0.62317228,-4.4262981,-118.034616,-0.3092441
25.6875,-0.67737758,-4.4085708,-117.561888,-0.32033694
25.787109,-0.67303544,-4.1064038,-109.5041013,-0.31710321
25.886719,-0.68138325,-4.3560381,-116.161016,-0.31682879
25.986328,-0.73232198,-4.4850693,-119.601848,-0.32747185
26.085938,-0.72920835,-4.0808415,-108.82244,-0.32715443
26.185547,-0.73617762,-4.325882,-115.3568533,-0.32506368
26.285156,-0.74860424,-4.5109582,-120.2922187,-0.3360365
26.384766,-0.73997408,-4.1209149,-109.891064,-0.33196503
26.484375,-0.74962187,-4.4681096,-119.1495893,-0.3341361
26.583984,-0.75390583,-4.5015354,-120.040944,-0.34222919
26.683594,-0.74690151,-4.2044792,-112.1194453,-0.34172818
26.783203,-0.75320584,-4.436739,-118.31304,-0.33902234
26.882813,-0.7593686,-4.5474019,-121.2640507,-0.34900978
26.982422,-0.75093615,-4.1871428,-111.6571413,-0.3506141
27.082031,-0.75525659,-4.3456841,-115.8849093,-0.34482136
27.181641,-0.76552999,-4.6383152,-123.6884053,-0.35474086
27.28125,-0.7609641,-4.3871741,-116.9913093,-0.36032501
27.380859,-0.76017433,-4.3563929,-116.1704773,-0.35307842
27.480469,-0.77047199,-4.626514,-123.3737067,-0.36152029
27.580078,-0.76201558,-4.2625537,-113.6680987,-0.36762854
27.679688,-0.76326287,-4.3103976,-114.943936,-0.36161557
27.779297,-0.77326179,-4.657393,-124.1971467,-0.36849573
27.878906,-0.77026117,-4.5115366,-120.3076427,-0.37481284
27.978516,-0.76699018,-4.3744683,-116.652488,-0.37228382
28.078125,-0.7759881,-4.702971,-125.41256,-0.37167335
28.177734,-0.77187985,-4.5519643,-121.3857147,-0.38431537
28.277344,-0.76251632,-4.174614,-111.32304,-0.37824517
28.376953,-0.77234387,-4.5465326,-121.2408693,-0.38142011
28.476563,-0.77925676,-4.667377,-124.4633867,-0.38889787
28.576172,-0.77441883,-4.42519,-118.0050667,-0.39015543
28.675781,-0.77764124,-4.5517836,-121.380896,-0.38609347
28.775391,-0.85546809,-4.7096415,-125.59044,-0.39587173
28.875,-0.85920638,-4.3294091,-115.4509093,-0.3992106
28.974609,-0.86227453,-4.4536977,-118.765272,-0.39297229
29.074219,-0.87783349,-4.7727365,-127.2729733,-0.40196893
29.173828,-0.88307047,-4.5343018,-120.9147147,-0.4069564
29.273438,-0.8822875,-4.5001473,-120.003928,-0.39914072
29.373047,-0.91219449,-4.8090973,-128.2425947,-0.4069486
29.472656,-0.95311421,-4.502315,-120.0617333,-0.41700128
29.572266,-0.94953263,-4.3593841,-116.2502427,-0.40879038
29.671875,-0.96272314,-4.796031,-127.89416,-0.41484576
29.771484,-0.96660841,-4.6697378,-124.5263413,-0.4235563
29.871094,-0.96133369,-4.448627,-118.6300533,-0.41667098
29.970703,-0.97189385,-4.8249135,-128.66436,-0.41981751
30.070313,-0.971717,-4.6891823,-125.0448613,-0.43184963
30.169922,-0.96349186,-4.3555779,-116.148744,-0.4248274
30.269531,-0.97422469,-4.7673802,-127.1301387,-0.42947954
30.369141,-0.97726107,-4.8216581,-128.5775493,-0.43705651
30.46875,-0.97141469,-4.5700192,-121.8671787,-0.43519688
30.568359,-0.97684366,-4.7867904,-127.647744,-0.43312037
30.667969,-0.9769733,-4.7842336,-127.5795627,-0.44364303
30.767578,-0.96633661,-4.3516941,-116.045176,-0.44294897
30.867188,-0.97376055,-4.6553516,-124.1427093,-0.44231275
30.966797,-0.97945368,-4.8468137,-129.2483653,-0.45149538
31.066406,-0.97315627,-4.5825748,-122.2019947,-0.45118022
31.166016,-0.97682786,-4.742322,-126.46192,-0.44742885
31.265625,-0.97615457,-4.8439474,-129.1719307,-0.46014449
31.365234,-0.96525449,-4.4012866,-117.3676427,-0.45826739
31.464844,-0.97259581,-4.6970916,-125.255776,-0.45718363
31.564453,-0.97812611,-4.8969464,-130.5852373,-0.4676109
31.664063,-0.97079825,-4.5860195,-122.2938533,-0.46472839
31.763672,-0.97835493,-4.8979249,-130.6113307,-0.46298489
31.863281,-0.97033811,-4.7789855,-127.4396133,-0.4780724
31.962891,-0.96237361,-4.4747987,-119.3279653,-0.46966287
32.0625,-0.97360384,-4.9077821,-130.8741893,-0.47453785
32.162109,-0.97460246,-4.8542032,-129.4454187,-0.48176435
32.261719,-0.96990752,-4.6586504,-124.2306773,-0.47826296
32.361328,-0.97927481,-5.022366,-133.92976,-0.47967133
32.460938,-1.0219644,-4.847538,-129.26768,-0.49172235
32.560547,-1.0147338,-4.5298996,-120.7973227,-0.48510134
32.660156,-1.0242779,-4.9099078,-130.9308747,-0.48613107
32.759766,-1.0470686,-4.9909248,-133.091328,-0.4966948
32.859375,-1.0428636,-4.690444,-125.0785067,-0.49568295
32.958984,-1.0481384,-4.9083729,-130.889944,-0.49392763
33.058594,-1.0559022,-4.9852695,-132.94052,-0.50505698
33.158203,-1.0474479,-4.6035976,-122.7626027,-0.50428265
33.257813,-1.0521995,-4.8079,-128.2106667,-0.50146604
